DetailURL,Space,Name,Penname,Genre,ImageURL,WebURL,GenreFreeFormat
https:/techbookfest.org/event/tbf04/circle/16530002,き31,golang.tokyo（ゴーラングトウキョウ）,golang.tokyo,ソフトウェア全般,https://lh3.googleusercontent.com/6n68sJxMn5UPa01E_rEb_LwF6KfFxmr44cxUVAOvTKLs2dBZHBC-VWrJkjSDEkFTzmgNprlNh8Fd9rbLsv0,,Goに関する技術書
https:/techbookfest.org/event/tbf04/circle/17400004,き32,team scomber（チームスカンバー）,eldesh,ソフトウェア全般,https://lh3.googleusercontent.com/qL9i__RURKFMnRgW0d_Ea6mdtscpYnpphxWslPPHdqO59e-wbeJFUYW29r0a1aUTinqsRlRqMQooOUi5T4TT,,関数型プログラミング言語であるMLとその関連分野についての知識、あるいは使用に際して得られた知見を発信します。
https:/techbookfest.org/event/tbf04/circle/18460007,き33,Dodgson Labs（ドジソンラボ）,チェシャ猫,ソフトウェア全般,/assets/images/dummy_cut.png,,諸事情につき頒布物変更の可能性があります。
https:/techbookfest.org/event/tbf04/circle/13790002,き34,趣味はデバッグ……（シュミハデバッグ）,岡本和樹,ソフトウェア全般,https://lh3.googleusercontent.com/9ODwkoZTFiA8U70IRhjGIpVOaFiEW37SGsmnmv46j2YwV6VNjTY-nUs0znFiVc13MdY3Cvmz3lQpWRayyMv8fw,http://doujin.kakkun61.com/,Haskell の手続きプログラミングの側面について
https:/techbookfest.org/event/tbf04/circle/13820005,く01,闇のAndroider（ヤミノアンドロイダー）,okuzawats,ソフトウェア全般,https://lh3.googleusercontent.com/NahinTg5QBKz5oxyXwk34ZbYdardi7nmN9jaeXcDZEWgIXVatQjwAO_npsok0AVvfl1NnfCDee_02OCXIMwD,,Flutterを使ったクロスプラットフォーム開発入門とAndroidアプリ開発入門について書いた本になります。
https:/techbookfest.org/event/tbf04/circle/19150006,く02,53鍵盤（ゴジュウサンケンバン）,わかめそば,ソフトウェア全般,https://lh3.googleusercontent.com/G_Gy-2zWjNn_grE4DhzRJpD_m2sgvivILF6O6COJKMGAg19eODkhBFN5RsFqzAAhONZV0oTxs5a00god3h-f,https://www.wakamesoba98.net/circle/,Android Twitterクライアント systemd-nspawn
https:/techbookfest.org/event/tbf04/circle/11700003,く03,焼きりんご（ヤキリンゴ）,d_date,ソフトウェア全般,https://lh3.googleusercontent.com/EjssiPcjR9vOljbaXUysvAY5oWM74gBcHHIf5qTYd-EJffx_PbTN6QHuuvvfZRku-lY39PHqUbfkzWPw64WC,,iOSにおけるFirebaseの使い方を解説した本を出します。使ったことが無い方に向けたサービスの解説から、経験者でも突っかかりそうなTipsまで広く浅く解説したいと思っています。初出展です。どうぞお手柔らかに！
https:/techbookfest.org/event/tbf04/circle/22020002,く04,Personal Factory（パーソナルファクトリー）,佐藤剛士,ソフトウェア全般,https://lh3.googleusercontent.com/vD1_QZ2Rnt8O84uwD4D4x3zOJ4bsioPmCF4JTwRfM07vtK_35y0x1wY1-4Zcp-aBROKZRzFQaMl0hwpQ3A4,http://blog.personal-factory.com/,「【新刊】公務員の文書改竄防止システムをブロックチェーンで作ってみた」:改ざんされない文書管理システムをブロックチェーンで作ります。「【既刊】Vaporで学ぶはじめてのServer Side Swift」:Vapor入門書です。
https:/techbookfest.org/event/tbf04/circle/20040002,く05,大志（ヒロシ）,bati668,ソフトウェア全般,https://lh3.googleusercontent.com/l8eayeJeJoYSHUU-Zf0QgkmznivlCc7ePRfxyxvT9eprdeNVdF9JcgFERstTHZ7AYLyUu3ahTrW9S-kXuY1Q,https://mobile.twitter.com/nanamoto7483,初めまして、フリーランスエンジニアとして活動している千葉大志と申します。よろしくお願いします。きたる技術書展４では、私は「iOSアプリ開発デザインパターン入門」という本を出版する予定です。本書の目的はMVC やMVVM などと呼ばれるiOS アプリケーション開発をするために必要な設計を学ぶことです。 私は前職などで、インターン生などの教育を担当していて、プログラミングのプの字も知らない人に対して、iOSを教えていました。そこで問題意識を持っていたのは、初心者から中級者への壁が高いこと、そしてそれらを橋渡しするいい感じの本が日本には存在しないことです。海外の本だと何冊かあるんですが、日本にはなくて、オブジェクト指向を知らない人に説明することがすごい難しいなと感じていました。現状、某Webサービスや、某プロフラミングキャンプでなどでiOS学んでも、プロダクトを作れるようにならなくて、そも先がないんですよね。その先に進むためには、じゃあ結局企業で1年ないし、2年は働くしかないと。なので、iOS初心者の方が、スムースに、企業で働くことなく、中級者になる為に必要な知識を体系的にまとめた本を作りました。
https:/techbookfest.org/event/tbf04/circle/17390001,く06,みじんこ組（ミジンコグミ）,みじんこ組,ソフトウェア全般,https://lh3.googleusercontent.com/kjUPwWik216i3OLy-CAMaXu__Xcx5S7lKr-Dy82k5tA1IOQszWg77APIoiprxB8FDsVkVUB8RzbpZIqoqAqx,https://twitter.com/daphnia_class/status/914009676500447232,世界中を探しても無いであろうmacOS向けデスクトップマスコットの作り方の本を新刊として出します。その他、過去の技術書典で頒布したものも持ち込む予定です。
https:/techbookfest.org/event/tbf04/circle/14600001,く07,ダンボールハウス（サンボールハウス）,Danbo-Tanaka,ソフトウェア全般,https://lh3.googleusercontent.com/YY1YvJcyII331Xo0-rLTG_-IaiarDl21ORx6trA9CymsV-yEkX0RRlUzjTM8IgCMQS-JQ-2_TvGOwEvZ3mzG,,SwiftによるTDD入門
https:/techbookfest.org/event/tbf04/circle/19360001,く08,superflip（スーパーフリップ）,kusano_k,ソフトウェア全般,https://lh3.googleusercontent.com/oI5Oaxpg--HaWImcl01BqXDlahVLIiue6e60kNuJbO5oXzuPtXt--nL2Gx9s7z59uOv-qPlMiGibNI-HQEtH,https://twitter.com/sprflp,前回の冬コミで頒布したファイルフォーマットZIPに解説する本を再販します。間に合えば、暗号通貨に関するペーパーかコピー本も頒布したいと考えております。
https:/techbookfest.org/event/tbf04/circle/15520001,く09,ゆるげぶ（ユルゲブ）,白石俊平,科学技術,https://lh3.googleusercontent.com/zC85LkoJO-KjSIYsUjNolD2VRcpY8hZxkW46VIfG02iC_2oGGakyOZYcpa0An45ptwNjp33x7z6LI0NpWu9ZOQ,https://m.facebook.com/groups/1722105741413771,第二次人工知能ブームの中心的書籍だったと言われる、「ゲーデル、エッシャー、バッハ」についての解説＆二次創作になります。原著はゲーデルの不完全性定理を中心として、人工知能やプログラミング言語、脳科学など幅広く取り扱った（分厚い）科学エッセイです。
https:/techbookfest.org/event/tbf04/circle/16530001,く09,ゆるげぶ（ユルゲブ）,白石俊平,科学技術,https://lh3.googleusercontent.com/zC85LkoJO-KjSIYsUjNolD2VRcpY8hZxkW46VIfG02iC_2oGGakyOZYcpa0An45ptwNjp33x7z6LI0NpWu9ZOQ,https://m.facebook.com/groups/1722105741413771,第二次人工知能ブームの中心的書籍だったと言われる、「ゲーデル、エッシャー、バッハ」についての解説＆二次創作になります。原著はゲーデルの不完全性定理を中心として、人工知能やプログラミング言語、脳科学など幅広く取り扱った（分厚い）科学エッセイです。
https:/techbookfest.org/event/tbf04/circle/18440001,く11,もくもく温泉（モクモクオンセン）,tabunmuri,その他,https://lh3.googleusercontent.com/wZd4RJOU9gxMR4hNVi1339YYF0HrxsAz-qUVc_X6FzidUXEdI6yWifwAbw7ZluyuL80-8511zVqpggazXk_hPg,https://mokumoku-onsen.connpass.com/,もくもく温泉という開発合宿イベントについてのレポート冊子を頒布します。
https:/techbookfest.org/event/tbf04/circle/15570007,く12,Suomi Project（スオミプロジェクト）,このすみ,その他,https://lh3.googleusercontent.com/KBwglaicjElIippoC7n_EW6r3vHT3EoZ_JYcJ1ITiALSEsDSF9pPIlxLrm14QE6Ak9N4k3GuRYFZLl0o6hhy,http://www.konosumi.net/,Firebase Realtime Database と React.js を使ったリアルタイムアプリケーションの入門本を書く予定です。
https:/techbookfest.org/event/tbf04/circle/21040006,く13,Outlaw Tech（アウトローテック）,えむにわ,ソフトウェア全般,https://lh3.googleusercontent.com/iSICD3IeSCVyY21Qr2ziFC18mmcMRl-GYIdAwtSwlN5jhuadIVje0GCJou9unMpTcsdiicKgaVTjr1AiymOl,http://m2wasabi.hatenablog.com/,Laravelで開発をする人向けの道具選択、使い方を解説したノウハウ本。実践編では、PHPStormとDocker環境の構築からTDDでミニAPIサービスを設計・構築します。
https:/techbookfest.org/event/tbf04/circle/18430011,く14,チャーチル（チャーチル）,ふにゅん,ソフトウェア全般,https://lh3.googleusercontent.com/lx2LdGpQd8OU-TaOaDYnh1LDuFTmC_9xEEP62k3aBqjcew-dl_iIcvXaNp_BtsJVIqnp0VArv_tQZ5u0wQk,,Vuforiaを使用したARトラッキング解説
https:/techbookfest.org/event/tbf04/circle/16490005,く15,2点ビハインド（ニテンビハインド）,Yuruwou,ソフトウェア全般,https://lh3.googleusercontent.com/cJ8SQhotk7l55N00Lcl35fLmnai4IuUEFaGPbXg7USGKC6-cJi37D50yrR6VdEXnAC1XB7VehBFnq6D6ejt5,https://www.yuruwou.com/,Unityを用いたVRコンテンツの作成に関する実体験とノウハウを初心者の観点からまとめたもの
https:/techbookfest.org/event/tbf04/circle/15600002,く16,GarbageCollection（ガベージコレクション）,出水洸太郎,ソフトウェア全般,https://lh3.googleusercontent.com/VuP-5HaXX4yjpUV6rw2KGa7agMe7yrTIaVOKVn5OOng3gtUiP7lD4szphfdAy3mPlAgY7I9UvfZVTZZ5EJTz,http://nijiken.sakura.ne.jp/,VRコンテンツの本と数学の本です
https:/techbookfest.org/event/tbf04/circle/19370008,く17,れいぞうこのドア（レイゾウコノドア）,youten,ソフトウェア全般,https://lh3.googleusercontent.com/ByVKJVtWrrpAMMdTfQHYw3lSVTEnN3C95O_1pXXFQPd-OCjWbnTyJ1aY2E_w_1cJy4dUpABbfCutLfvcvQv3ew,http://greety.sakura.ne.jp/redo/,VR関連の技術本。バーチャルYouTuberのシステム構成などに関する説明と、実際にVive+UnityでバーチャルYouTuberシステムをOSSとして作ってみた話を書いた本を出します。
