Penname,Genre,DetailURL,Space,ImageURL,WebURL,GenreFreeFormat,Name
tk0miya,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/41010003,い07,/assets/images/dummy_cut.png,,Markdown や reStructuredText、Re:VIEW などの各種マークアップ言語の構造についてと、これらを扱うためのツール類についての解説書を執筆予定。,マークアップ言語愛好会（マークアップゲンゴアイコーカイ）
hidaruma,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/30510006,い08,https://lh3.googleusercontent.com/nBYz_d70LW4yAT6SIRBmvYnpA29-SFWBmKKbV6wTdOZDUOM4wIOmG9T67THMboAD3Sgq8hx0u4vYr8XbaTBr,,組版、文書編集、その他,Virtual Ones（バーチャルワンズ）
ふにゅん,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/30510001,い09,https://lh3.googleusercontent.com/lx2LdGpQd8OU-TaOaDYnh1LDuFTmC_9xEEP62k3aBqjcew-dl_iIcvXaNp_BtsJVIqnp0VArv_tQZ5u0wQk,,ＡＲ／ＶＲ,チャーチル（チャーチル）
みやもとようへい,その他,https:/techbookfest.org/event/tbf05/circle/49220001,い10,https://lh3.googleusercontent.com/2ZhGVhJ77W28kTgFsTVujvHla5pWEJBMOadxtbYwoZuAoXnW9-QEwh4i0eY8_q8zNOGQKdzhhM6BgDdMyLs,,コンサル目線で、XRを中心に市場や周辺技術の動向、このどう使えるかなどの情報を詰め合わせてお届けします。,XRのコンサル屋さん（エックスアールノコンサルヤサン）
hiropon,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/24970002,い11,https://lh3.googleusercontent.com/BXadyFZM2G7T7c_QX7278bTrcUGjWTXW9nIHcaP6tb8N1jWfwTFJM4mtacXlbAF8EKgfuObRN-el4k3ZmrKJRw,,フロントエンド、インフラ、vtuberなど,さいたまぷらねっと（サイタマプラネット）
えむにわ,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/30480011,い12,https://lh3.googleusercontent.com/qiMpUYJrW8tYpER-mVD8c7cwyyiJQ2ESL45R6RmtlOe6YPPs_83CtMGV0kf0dEditzfDJrXXtsm4nt1y_Ac7,http://m2wasabi.hatenablog.com/,VRMファンブック ードワンゴが中心になってオープン開発しているVR向けのアバターフォーマット VRMの解説本,Outlaw Tech（アウトローテック）
ふぃなっぷ,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/26760001,い13,https://lh3.googleusercontent.com/e3sfdmGgNN7zu5FJQyXNnVR9gTMNx-ZDYN6ZD0sM9oWvwQLIC51gI9_R8M0gQy3KF_gfuFLJWWHOU6jARB1l,https://finap.sakura.ne.jp/,バ美肉（バーチャル美少女セルフ受肉おじさん）したので、技術知見などをまとめた本を出そうと思います,BAKUNETSU VICTORY（バクネツビクトリー）
youten,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/30520004,い14,/assets/images/dummy_cut.png,http://greety.sakura.ne.jp/redo/,VRコンテンツのつくりかた4（予定）。書けそうな順番に、DaydreamのSDKやサンプルの技術的な話（2は初心者向けだったので。コントローラ複数本対応正式に来て欲しい。）・VTuberの技術要素と関連アプリやサービスの話（半年で激変しているので差分書きたい）・モバイルとネイティブプラグインの話,れいぞうこのドア（レイゾウコノドア）
十草木口口口口,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/23950003,い15,/assets/images/dummy_cut.png,,VR関係の開発について/自作ハードウェアについて,十草機亭（トクサキテイ）
きりみん,その他,https:/techbookfest.org/event/tbf05/circle/28390002,い16,/assets/images/dummy_cut.png,,VTuber活動の技術的側面の解説、紹介本。もしくはLive2Dの解説本を予定。,きりみんちゃんねる（キリミンチャンネル）
